model,rmse,mae,map@10,precision@10,recall@10,ndcg@10,hit_rate@10,coverage,train_time_s
SVD,0.9023402132891548,0.6977507344707812,0.06768604207992653,0.11248730964467006,0.12116314065363724,0.14490789542264448,0.649746192893401,0.351380042462845,4.3106231689453125
Item-Based CF,0.9614356770470873,0.7532260910358057,0.01607872933594068,0.047106598984771576,0.04500828949876113,0.04524160308083396,0.311336717428088,0.7961783439490446,1.3400800228118896
